style,college
background-color: #00205b; color: white; border-bottom: 4px solid #C5B783;,Navy Midshipmen
background-color: #9e1b32; color: white; border-bottom: 4px solid #828A8f;,Alabama
background-color: #9D2235; color: white; border-bottom: 4px solid black;,Arkansas
background-color: #0C2350; color: white; border-bottom: 4px solid #e87722;,Auburn
background-color: #fa4616; border-bottom: 4px solid #0021a5; color: white;,Florida
background-color: #ba0c2f; color: white; border-bottom: 4px solid #000;,Georgia
background-color: #0033a0; color: white; border-bottom: 4px solid #fff;,Kentucky
background-color: #461d7c; border-bottom: 4px solid #fdd023; color: white;,Louisiana State
background-color: #13294b; border-bottom: 4px solid #c8102e; color: white;,Mississippi
background-color: #660000; border-bottom: 4px solid #fff; color: white;,Mississippi State
background-color: #f1b82d; border-bottom: 4px solid #000000; color: black;,Missouri
background-color: #73000a; border-bottom: 4px solid black; color: white;,South Carolina
background-color: #FF8200; color: white; border-bottom: 4px solid #58595b;,Tennessee
background-color: #500000; color: white; border-bottom: 4px solid white;,Texas A&M
background-color:#866d4b; border-bottom: 4px solid #000; color: #fff; ,Vanderbilt
